employee,year_month,average_score,message_count,positive_count,negative_count
bobette.riner@ipgdirect.com,2010-01,0.5,2,1,0
bobette.riner@ipgdirect.com,2010-02,0.5714285714285714,14,9,1
bobette.riner@ipgdirect.com,2010-03,0.36363636363636365,11,6,2
bobette.riner@ipgdirect.com,2010-04,0.6666666666666666,6,4,0
bobette.riner@ipgdirect.com,2010-05,0.75,4,3,0
bobette.riner@ipgdirect.com,2010-06,0.4,5,2,0
bobette.riner@ipgdirect.com,2010-07,0.6666666666666666,12,9,1
bobette.riner@ipgdirect.com,2010-08,0.4444444444444444,9,6,2
bobette.riner@ipgdirect.com,2010-09,0.5333333333333333,15,10,2
bobette.riner@ipgdirect.com,2010-10,1.0,6,6,0
bobette.riner@ipgdirect.com,2010-11,0.4375,16,10,3
bobette.riner@ipgdirect.com,2010-12,0.5,8,5,1
bobette.riner@ipgdirect.com,2011-01,0.5882352941176471,17,12,2
bobette.riner@ipgdirect.com,2011-02,0.6666666666666666,3,2,0
bobette.riner@ipgdirect.com,2011-03,0.5714285714285714,14,10,2
bobette.riner@ipgdirect.com,2011-04,0.5333333333333333,15,11,3
bobette.riner@ipgdirect.com,2011-05,1.0,1,1,0
bobette.riner@ipgdirect.com,2011-06,0.8181818181818182,11,9,0
bobette.riner@ipgdirect.com,2011-07,0.5,14,9,2
bobette.riner@ipgdirect.com,2011-08,0.6666666666666666,3,2,0
bobette.riner@ipgdirect.com,2011-09,0.7272727272727273,11,9,1
bobette.riner@ipgdirect.com,2011-10,0.0,1,0,0
bobette.riner@ipgdirect.com,2011-11,0.5625,16,10,1
bobette.riner@ipgdirect.com,2011-12,1.0,3,3,0
don.baughman@enron.com,2010-01,0.8888888888888888,9,8,0
don.baughman@enron.com,2010-02,0.4,15,7,1
don.baughman@enron.com,2010-03,0.5,4,3,1
don.baughman@enron.com,2010-04,0.8181818181818182,11,9,0
don.baughman@enron.com,2010-05,0.6956521739130435,23,17,1
don.baughman@enron.com,2010-06,0.7058823529411765,17,13,1
don.baughman@enron.com,2010-07,0.3333333333333333,6,2,0
don.baughman@enron.com,2010-08,1.0,2,2,0
don.baughman@enron.com,2010-09,0.42857142857142855,7,4,1
don.baughman@enron.com,2010-10,1.0,1,1,0
don.baughman@enron.com,2010-11,0.5555555555555556,9,6,1
don.baughman@enron.com,2010-12,0.7222222222222222,18,14,1
don.baughman@enron.com,2011-01,0.3333333333333333,9,4,1
don.baughman@enron.com,2011-02,0.0,2,1,1
don.baughman@enron.com,2011-03,0.25,4,2,1
don.baughman@enron.com,2011-04,0.8,5,4,0
don.baughman@enron.com,2011-05,0.6666666666666666,12,9,1
don.baughman@enron.com,2011-06,0.6666666666666666,3,2,0
don.baughman@enron.com,2011-07,0.6,5,3,0
don.baughman@enron.com,2011-08,0.5833333333333334,12,8,1
don.baughman@enron.com,2011-09,0.6,15,10,1
don.baughman@enron.com,2011-10,1.0,9,9,0
don.baughman@enron.com,2011-11,0.625,8,5,0
don.baughman@enron.com,2011-12,0.7142857142857143,7,5,0
eric.bass@enron.com,2010-01,0.9,10,9,0
eric.bass@enron.com,2010-02,0.5,4,3,1
eric.bass@enron.com,2010-03,0.5454545454545454,11,7,1
eric.bass@enron.com,2010-04,1.0,2,2,0
eric.bass@enron.com,2010-05,0.8571428571428571,7,6,0
eric.bass@enron.com,2010-06,1.0,1,1,0
eric.bass@enron.com,2010-07,0.8421052631578947,19,17,1
eric.bass@enron.com,2010-08,1.0,2,2,0
eric.bass@enron.com,2010-09,0.7333333333333333,15,11,0
eric.bass@enron.com,2010-10,0.5555555555555556,9,6,1
eric.bass@enron.com,2010-11,1.0,5,5,0
eric.bass@enron.com,2010-12,1.0,2,2,0
eric.bass@enron.com,2011-01,0.75,12,9,0
eric.bass@enron.com,2011-02,-1.0,1,0,1
eric.bass@enron.com,2011-03,0.4444444444444444,9,5,1
eric.bass@enron.com,2011-04,0.7272727272727273,11,9,1
eric.bass@enron.com,2011-05,0.375,16,10,4
eric.bass@enron.com,2011-06,0.7272727272727273,22,17,1
eric.bass@enron.com,2011-07,1.0,5,5,0
eric.bass@enron.com,2011-08,0.5714285714285714,7,5,1
